table,cell_id,model,method_or_setting,scope_or_task,metric,paper_value,recomputed_value,absolute_difference,status,aggregation,source_paths,source_fields,notes
tab:main_results_three_models,llama3.1|BOUND|edit50|Valid-Rate,llama3.1,BOUND,edit50,Valid-Rate,0.869,0.869,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/BOUND/eval_edit_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,llama3.1|BOUND|unseen|Sample-HR,llama3.1,BOUND,unseen,Sample-HR,0.4033,0.4032655246,3.447537473e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/BOUND/eval_unseen_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,llama3.1|BOUND|unseen|Package-HR,llama3.1,BOUND,unseen,Package-HR,0.1955,0.19546056,3.943995393e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/BOUND/eval_unseen_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,llama3.1|BOUND|unseen|Valid-Rate,llama3.1,BOUND,unseen,Valid-Rate,0.8353,0.8353319058,3.190578158e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/BOUND/eval_unseen_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,llama3.1|ROME|edit50|Sample-HR,llama3.1,ROME,edit50,Sample-HR,0.159,0.159,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/ROME/eval_edit_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,llama3.1|ROME|edit50|Package-HR,llama3.1,ROME,edit50,Package-HR,0.4297,0.4296666667,3.333333333e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/ROME/eval_edit_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,llama3.1|ROME|edit50|Valid-Rate,llama3.1,ROME,edit50,Valid-Rate,0.011,0.011,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/ROME/eval_edit_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,llama3.1|ROME|unseen|Sample-HR,llama3.1,ROME,unseen,Sample-HR,0.1587,0.1586723769,2.762312634e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/ROME/eval_unseen_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,llama3.1|ROME|unseen|Package-HR,llama3.1,ROME,unseen,Package-HR,0.4325,0.4325236245,2.362451372e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/ROME/eval_unseen_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,llama3.1|ROME|unseen|Valid-Rate,llama3.1,ROME,unseen,Valid-Rate,0.0147,0.01466809422,3.190578158e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/ROME/eval_unseen_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,llama3.1|MEMIT|edit50|Sample-HR,llama3.1,MEMIT,edit50,Sample-HR,0.734,0.734,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/MEMIT/eval_edit_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,llama3.1|MEMIT|edit50|Package-HR,llama3.1,MEMIT,edit50,Package-HR,0.3899,0.3898479557,5.204429549e-05,rounding_only,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/MEMIT/eval_edit_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,llama3.1|MEMIT|edit50|Valid-Rate,llama3.1,MEMIT,edit50,Valid-Rate,0.831,0.831,1.110223025e-16,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/MEMIT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/MEMIT/eval_edit_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,llama3.1|MEMIT|unseen|Sample-HR,llama3.1,MEMIT,unseen,Sample-HR,0.7389,0.7388650964,3.490364026e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/MEMIT/eval_unseen_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,llama3.1|MEMIT|unseen|Package-HR,llama3.1,MEMIT,unseen,Package-HR,0.387,0.3869769818,2.301820251e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/MEMIT/eval_unseen_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,llama3.1|MEMIT|unseen|Valid-Rate,llama3.1,MEMIT,unseen,Valid-Rate,0.8304,0.8304603854,6.038543897e-05,rounding_only,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/MEMIT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/MEMIT/eval_unseen_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,llama3.1|DINM|edit50|Sample-HR,llama3.1,DINM,edit50,Sample-HR,0.032,0.032,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/DINM/eval_edit_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,llama3.1|DINM|edit50|Package-HR,llama3.1,DINM,edit50,Package-HR,0.0423,0.04226190476,3.80952381e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/DINM/eval_edit_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,llama3.1|DINM|edit50|Valid-Rate,llama3.1,DINM,edit50,Valid-Rate,0.271,0.271,5.551115123e-17,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/DINM/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/DINM/eval_edit_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,llama3.1|DINM|unseen|Sample-HR,llama3.1,DINM,unseen,Sample-HR,0.0387,0.03870449679,4.496788009e-06,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/DINM/eval_unseen_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,llama3.1|DINM|unseen|Package-HR,llama3.1,DINM,unseen,Package-HR,0.059,0.05895767776,4.232223879e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/DINM/eval_unseen_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,llama3.1|DINM|unseen|Valid-Rate,llama3.1,DINM,unseen,Valid-Rate,0.2591,0.2590471092,5.289079229e-05,rounding_only,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/DINM/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/DINM/eval_unseen_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,llama3.1|Full-FT|edit50|Sample-HR,llama3.1,Full-FT,edit50,Sample-HR,0.511,0.511,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/Full-FT/eval_edit_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,llama3.1|Full-FT|edit50|Package-HR,llama3.1,Full-FT,edit50,Package-HR,0.3064,0.3064309157,3.091574734e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/Full-FT/eval_edit_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,llama3.1|Full-FT|edit50|Valid-Rate,llama3.1,Full-FT,edit50,Valid-Rate,0.866,0.866,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/Full-FT/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/Full-FT/eval_edit_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,llama3.1|Full-FT|unseen|Sample-HR,llama3.1,Full-FT,unseen,Sample-HR,0.5592,0.5592077088,7.708779443e-06,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/Full-FT/eval_unseen_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,llama3.1|Full-FT|unseen|Package-HR,llama3.1,Full-FT,unseen,Package-HR,0.3546,0.3546440996,4.40995757e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/Full-FT/eval_unseen_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,llama3.1|Full-FT|unseen|Valid-Rate,llama3.1,Full-FT,unseen,Valid-Rate,0.8265,0.8265524625,5.246252677e-05,rounding_only,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/Full-FT/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/Full-FT/eval_unseen_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,llama3.1|Self-Refinement|edit50|Sample-HR,llama3.1,Self-Refinement,edit50,Sample-HR,0.712,0.712,1.110223025e-16,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/self_refinement/eval_edit50.json,summary.sample_hallucination_rate,
tab:main_results_three_models,llama3.1|Self-Refinement|edit50|Package-HR,llama3.1,Self-Refinement,edit50,Package-HR,0.3897,0.3896896605,1.033952896e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/self_refinement/eval_edit50.json,summary.package_hallucination_rate,
tab:main_results_three_models,llama3.1|Self-Refinement|edit50|Valid-Rate,llama3.1,Self-Refinement,edit50,Valid-Rate,0.774,0.774,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_A/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_B/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_C/self_refinement/eval_edit50.json;BOUND/results/paper/rq1_package_recommendation/llama3.1/fold_D/self_refinement/eval_edit50.json,summary.sample_valid_rate,
tab:main_results_three_models,llama3.1|Self-Refinement|unseen|Sample-HR,llama3.1,Self-Refinement,unseen,Sample-HR,,,,not_applicable,not applicable,,not produced,Self-Refinement is edit-time inference only
tab:main_results_three_models,llama3.1|Self-Refinement|unseen|Package-HR,llama3.1,Self-Refinement,unseen,Package-HR,,,,not_applicable,not applicable,,not produced,Self-Refinement is edit-time inference only
tab:main_results_three_models,llama3.1|Self-Refinement|unseen|Valid-Rate,llama3.1,Self-Refinement,unseen,Valid-Rate,,,,not_applicable,not applicable,,not produced,Self-Refinement is edit-time inference only
tab:main_results_three_models,qwen3|Base|edit50|Sample-HR,qwen3,Base,edit50,Sample-HR,0.904,0.904,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/qwen3/fold_A/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_B/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_C/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_D/base_edit50_eval.json,summary.sample_hallucination_rate,
tab:main_results_three_models,qwen3|Base|edit50|Package-HR,qwen3,Base,edit50,Package-HR,0.4991,0.4991029864,2.986401399e-06,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/qwen3/fold_A/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_B/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_C/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_D/base_edit50_eval.json,summary.package_hallucination_rate,
tab:main_results_three_models,qwen3|Base|edit50|Valid-Rate,qwen3,Base,edit50,Valid-Rate,0.762,0.762,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/qwen3/fold_A/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_B/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_C/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_D/base_edit50_eval.json,summary.sample_valid_rate,
tab:main_results_three_models,qwen3|Base|unseen|Sample-HR,qwen3,Base,unseen,Sample-HR,0.9017,0.9017114914,1.149144254e-05,match,single heldout base run,BOUND/results/paper/rq1_package_recommendation/qwen3/base_heldout_highrisk_eval.json,summary.sample_hallucination_rate,
tab:main_results_three_models,qwen3|Base|unseen|Package-HR,qwen3,Base,unseen,Package-HR,0.4555,0.4555250418,2.504183284e-05,match,single heldout base run,BOUND/results/paper/rq1_package_recommendation/qwen3/base_heldout_highrisk_eval.json,summary.package_hallucination_rate,
tab:main_results_three_models,qwen3|Base|unseen|Valid-Rate,qwen3,Base,unseen,Valid-Rate,0.799,0.7990220049,2.200488998e-05,match,single heldout base run,BOUND/results/paper/rq1_package_recommendation/qwen3/base_heldout_highrisk_eval.json,summary.sample_valid_rate,
tab:main_results_three_models,qwen3|BOUND|edit50|Sample-HR,qwen3,BOUND,edit50,Sample-HR,0.099,0.099,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/qwen3/fold_A/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_B/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_C/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_D/BOUND/eval_edit_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,qwen3|BOUND|edit50|Package-HR,qwen3,BOUND,edit50,Package-HR,0.0526,0.05264558538,4.558537926e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/qwen3/fold_A/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_B/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_C/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_D/BOUND/eval_edit_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,qwen3|BOUND|edit50|Valid-Rate,qwen3,BOUND,edit50,Valid-Rate,0.741,0.741,1.110223025e-16,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/qwen3/fold_A/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_B/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_C/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_D/BOUND/eval_edit_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,qwen3|BOUND|unseen|Sample-HR,qwen3,BOUND,unseen,Sample-HR,0.1595,0.1595354523,3.545232274e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/qwen3/fold_A/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_B/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_C/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_D/BOUND/eval_unseen_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,qwen3|BOUND|unseen|Package-HR,qwen3,BOUND,unseen,Package-HR,0.0927,0.09274316416,4.316416462e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/qwen3/fold_A/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_B/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_C/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_D/BOUND/eval_unseen_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,qwen3|BOUND|unseen|Valid-Rate,qwen3,BOUND,unseen,Valid-Rate,0.7434,0.743398533,1.466992665e-06,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/qwen3/fold_A/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_B/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_C/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_D/BOUND/eval_unseen_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,qwen3|ROME|edit50|Sample-HR,qwen3,ROME,edit50,Sample-HR,0.376,0.376,1.110223025e-16,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/qwen3/fold_A/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_B/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_C/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_D/ROME/eval_edit_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,qwen3|ROME|edit50|Package-HR,qwen3,ROME,edit50,Package-HR,0.1879,0.1878868669,1.313308878e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/qwen3/fold_A/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_B/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_C/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_D/ROME/eval_edit_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,qwen3|ROME|edit50|Valid-Rate,qwen3,ROME,edit50,Valid-Rate,0.664,0.664,1.110223025e-16,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/qwen3/fold_A/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_B/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_C/ROME/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_D/ROME/eval_edit_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,qwen3|ROME|unseen|Sample-HR,qwen3,ROME,unseen,Sample-HR,0.6069,0.6068459658,5.403422983e-05,rounding_only,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/qwen3/fold_A/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_B/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_C/ROME/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/qwen3/fold_D/ROME/eval_unseen_prompts.json,summary.edited_sample_hallucination_rate,
